,round,coach_id,coach_team_id,coach_first_name,coach_team_name,player_id,played_position,points,on_field,feed_id,first_name,last_name,team,position,round_number_alt,source
111,10.0,86078.0,9806.0,Lester,HoweIMetYourMother,307.0,MID,109.0,True,298272,Touk,Miller,GCS,MID,R10,Draft
112,11.0,86078.0,9806.0,Lester,HoweIMetYourMother,307.0,MID,65.0,True,298272,Touk,Miller,GCS,MID,R11,Draft
113,12.0,86078.0,9806.0,Lester,HoweIMetYourMother,307.0,MID,124.0,True,298272,Touk,Miller,GCS,MID,R12,Draft
114,13.0,86078.0,9806.0,Lester,HoweIMetYourMother,307.0,MID,102.0,True,298272,Touk,Miller,GCS,MID,R13,Draft
115,14.0,86078.0,9806.0,Lester,HoweIMetYourMother,307.0,MID,110.0,True,298272,Touk,Miller,GCS,MID,R14,Draft
116,1.0,86078.0,9806.0,Lester,HoweIMetYourMother,366.0,DEF,100.0,True,291800,Tom,Stewart,GEE,DEF,R1,Draft
117,2.0,86078.0,9806.0,Lester,HoweIMetYourMother,366.0,DEF,119.0,True,291800,Tom,Stewart,GEE,DEF,R2,Draft
118,3.0,86078.0,9806.0,Lester,HoweIMetYourMother,366.0,DEF,84.0,True,291800,Tom,Stewart,GEE,DEF,R3,Draft
119,4.0,86078.0,9806.0,Lester,HoweIMetYourMother,366.0,DEF,18.0,True,291800,Tom,Stewart,GEE,DEF,R4,Draft
120,5.0,86078.0,9806.0,Lester,HoweIMetYourMother,366.0,DEF,0.0,False,291800,Tom,Stewart,GEE,DEF,R5,Draft
121,6.0,86078.0,9806.0,Lester,HoweIMetYourMother,366.0,DEF,0.0,False,291800,Tom,Stewart,GEE,DEF,R6,Draft
122,7.0,86078.0,9806.0,Lester,HoweIMetYourMother,366.0,DEF,0.0,False,291800,Tom,Stewart,GEE,DEF,R7,Draft
123,8.0,86078.0,9806.0,Lester,HoweIMetYourMother,366.0,DEF,89.0,True,291800,Tom,Stewart,GEE,DEF,R8,Draft
124,9.0,86078.0,9806.0,Lester,HoweIMetYourMother,366.0,DEF,145.0,True,291800,Tom,Stewart,GEE,DEF,R9,Draft
125,10.0,86078.0,9806.0,Lester,HoweIMetYourMother,366.0,DEF,68.0,True,291800,Tom,Stewart,GEE,DEF,R10,Draft
126,11.0,86078.0,9806.0,Lester,HoweIMetYourMother,366.0,DEF,100.0,True,291800,Tom,Stewart,GEE,DEF,R11,Draft
127,12.0,86078.0,9806.0,Lester,HoweIMetYourMother,366.0,DEF,103.0,True,291800,Tom,Stewart,GEE,DEF,R12,Draft
128,13.0,86078.0,9806.0,Lester,HoweIMetYourMother,366.0,DEF,117.0,True,291800,Tom,Stewart,GEE,DEF,R13,Draft
129,14.0,86078.0,9806.0,Lester,HoweIMetYourMother,366.0,DEF,104.0,True,291800,Tom,Stewart,GEE,DEF,R14,Draft
130,1.0,86078.0,9806.0,Lester,HoweIMetYourMother,656.0,MID,93.0,True,290117,Dan,Hannebery,STK,MID,R1,Draft
131,2.0,86078.0,9806.0,Lester,HoweIMetYourMother,656.0,MID,97.0,True,290117,Dan,Hannebery,STK,MID,R2,Draft
132,3.0,86078.0,9806.0,Lester,HoweIMetYourMother,656.0,MID,41.0,True,290117,Dan,Hannebery,STK,MID,R3,Draft
133,4.0,86078.0,9806.0,Lester,HoweIMetYourMother,656.0,MID,73.0,True,290117,Dan,Hannebery,STK,MID,R4,Draft
134,1.0,86078.0,9806.0,Lester,HoweIMetYourMother,709.0,DEF,85.0,True,993905,Callum,Mills,SYD,DEF,R1,Draft
135,2.0,86078.0,9806.0,Lester,HoweIMetYourMother,709.0,DEF,96.0,True,993905,Callum,Mills,SYD,DEF,R2,Draft
136,3.0,86078.0,9806.0,Lester,HoweIMetYourMother,709.0,DEF,74.0,True,993905,Callum,Mills,SYD,DEF,R3,Draft
137,4.0,86078.0,9806.0,Lester,HoweIMetYourMother,709.0,DEF,112.0,True,993905,Callum,Mills,SYD,DEF,R4,Draft
