,id,first_name,last_name,team_id,price,previous_games,previous_average,previous_total,feed_id,hs_url,active,positions,team,position,long_team
169,170,Oscar,Steene,4,119900,0,0.0,0,1022844,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}, {'position': 'RUC', 'position_long': 'Ruck', 'sort': 3}]",COL,FWD RUC,Collingwood
170,171,Lachlan,Sullivan,4,283400,10,52.6,526,998480,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",COL,MID,Collingwood
171,172,Charlie,West,4,113500,0,0.0,0,1027382,,True,"[{'position': 'RUC', 'position_long': 'Ruck', 'sort': 3}, {'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",COL,RUC FWD,Collingwood
172,173,Nick,Bryan,5,305200,5,70.8,354,1011954,,True,"[{'position': 'RUC', 'position_long': 'Ruck', 'sort': 3}]",ESS,RUC,Essendon
173,174,Nate,Caddy,5,279700,10,51.9,519,1027899,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ESS,FWD,Essendon
174,175,Jye,Caldwell,5,506300,23,93.96,2161,1006103,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ESS,MID,Essendon
175,176,Angus,Clarke,5,113500,0,0.0,0,1027284,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ESS,DEF,Essendon
176,177,Nik,Cox,5,268100,20,49.75,995,1015827,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ESS,MID,Essendon
177,178,Alwyn,Davey Jnr,5,146600,10,27.2,272,1017933,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ESS,FWD,Essendon
178,179,Archer,Day-Wicks,5,99100,0,0.0,0,1029265,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}, {'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ESS,MID FWD,Essendon
179,180,Sam,Draper,5,409200,16,75.94,1215,1005577,,True,"[{'position': 'RUC', 'position_long': 'Ruck', 'sort': 3}]",ESS,RUC,Essendon
180,181,Sam,Durham,5,482300,22,89.5,1969,1015810,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ESS,MID,Essendon
181,182,Xavier,Duursma,5,422100,15,78.33,1175,1006096,,True,"[{'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ESS,MID,Essendon
182,183,Saad,El-Hawli,5,119900,0,0.0,0,1015919,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}, {'position': 'MID', 'position_long': 'Midfielder', 'sort': 2}]",ESS,DEF MID,Essendon
183,184,Kayle,Gerreyn,5,113500,0,0.0,0,1029159,,True,"[{'position': 'RUC', 'position_long': 'Ruck', 'sort': 3}]",ESS,RUC,Essendon
184,185,Todd,Goldstein,5,377200,14,70.0,980,271129,,True,"[{'position': 'RUC', 'position_long': 'Ruck', 'sort': 3}]",ESS,RUC,Essendon
185,186,Jade,Gresham,5,318400,22,59.09,1300,298421,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ESS,FWD,Essendon
186,187,Matt,Guelfi,5,384600,13,71.38,928,996232,,True,"[{'position': 'FWD', 'position_long': 'Forward', 'sort': 4}]",ESS,FWD,Essendon
187,188,Lewis,Hayes,5,119900,0,0.0,0,1023487,,True,"[{'position': 'DEF', 'position_long': 'Defender', 'sort': 1}]",ESS,DEF,Essendon
