,round,pick,coach_first_name,player_id,name,team_abbrev,scr_pos,avg,round_rank_by_pos_all_players,round_rank_by_pos_drafted_players,scr,pos_scr,scr_wgt,nearest_7_rank
0,1.0,1.0,Mark,695,M.Bontempelli,WBD,MID,126.3913043478261,11.717391304347826,9.804347826086957,-0.531,-0.386,-3.705896,1
1,1.0,2.0,Luke,138,N.Daicos,COL,DEF,117.17391304347827,22.956521739130434,12.891304347826088,-1.546,0.302,-4.427256,1
2,1.0,3.0,Simon,706,T.English,WBD,RUC,108.0,7.590909090909091,6.590909090909091,-2.556,-1.002,-5.67248,3
3,1.0,4.0,Lester,459,C.Petracca,MEL,MID,103.23076923076923,25.0,19.346153846153847,-3.081,-1.111,-5.694896000000001,4
4,1.0,5.0,Paul,443,M.Gawn,MEL,RUC,124.14285714285714,4.976190476190476,4.404761904761905,-0.779,0.704,-5.364464,2
5,1.0,6.0,James,197,Z.Merrett,ESS,MID,115.26086956521739,16.934782608695652,13.891304347826088,-1.757,-0.332,-5.831664,4
6,1.0,7.0,Anthony,458,C.Oliver,MEL,MID,83.80952380952381,38.595238095238095,27.69047619047619,-5.22,-4.027,-7.34184,8
7,1.0,8.0,Jordan,629,R.Marshall,STK,RUC,112.0,6.8478260869565215,6.021739130434782,-2.116,-1.336,-6.11708,6
8,2.0,9.0,Mark,9,J.Dawson,ADE,MID,102.13636363636364,27.40909090909091,21.068181818181817,-3.202,-2.718,-6.899312,7
9,2.0,10.0,Luke,362,T.Green,GWS,MID,106.56521739130434,23.282608695652176,17.152173913043477,-2.714,0.809,-5.2006879999999995,2
10,2.0,11.0,Simon,20,R.Laird,ADE,MID,104.1304347826087,24.23913043478261,19.043478260869566,-2.982,-1.147,-5.68792,5
11,2.0,12.0,Lester,350,K.Briggs,GWS,RUC,95.81818181818181,9.272727272727273,8.0,-3.897,-5.353,-6.943111999999999,8
12,2.0,13.0,Paul,526,Z.Butters,PTA,MID,120.43478260869566,14.326086956521738,12.130434782608695,-1.187,1.244,-4.449688,2
13,2.0,14.0,James,663,E.Gulden,SYD,MID,108.0,22.47826086956522,18.456521739130434,-2.556,-2.482,-5.873944000000001,5
14,2.0,15.0,Anthony,425,J.Sicily,HAW,DEF,98.9,36.7,20.7,-3.558,-2.701,-5.94948,6
15,2.0,16.0,Jordan,342,T.Stewart,GEE,DEF,96.68181818181819,36.79545454545455,20.272727272727273,-3.802,-1.129,-5.257856,3
16,3.0,17.0,Mark,537,D.Houston,PTA,DEF,106.81818181818181,26.977272727272727,16.34090909090909,-2.686,-1.517,-5.341864,3
17,3.0,18.0,Luke,662,B.Grundy,SYD,RUC,106.6086956521739,7.608695652173913,6.565217391304348,-2.709,1.342,-4.210752,1
18,3.0,19.0,Simon,483,L.Davies-Uniacke,NTH,MID,109.1304347826087,22.543478260869566,18.108695652173914,-2.432,-1.473,-5.923006,5
19,3.0,20.0,Lester,717,T.Liberatore,WBD,MID,104.23529411764706,23.58823529411765,19.61764705882353,-2.971,-2.125,-6.418761999999999,7
20,3.0,21.0,Paul,242,C.Serong,FRE,MID,115.69565217391305,17.26086956521739,14.521739130434783,-1.709,3.852,-4.901349000000001,2
21,3.0,22.0,James,719,J.Macrae,WBD,FWD,72.77777777777777,54.22222222222222,21.77777777777778,-6.434,-5.723,-7.243431,8
22,3.0,23.0,Anthony,552,C.Rozee,PTA,MID,98.25,30.375,22.325,-3.63,-1.951,-5.593991,6
23,3.0,24.0,Jordan,54,J.Dunkley,BRL,MID,111.78260869565217,18.91304347826087,15.73913043478261,-2.14,-1.921,-5.391533,6
24,4.0,25.0,Mark,72,L.Neale,BRL,MID,119.86363636363636,17.181818181818183,13.409090909090908,-1.25,-1.29,-5.2484269999999995,6
25,4.0,26.0,Luke,198,D.Parish,ESS,MID,89.33333333333333,40.666666666666664,29.041666666666668,-4.611,-4.299,-6.31101,7
26,4.0,27.0,Simon,241,L.Ryan,FRE,DEF,116.6086956521739,19.67391304347826,12.0,-1.608,3.694,-4.257492999999999,7
27,4.0,28.0,Lester,301,J.Witts,GCS,RUC,107.875,6.75,5.9375,-2.57,-4.795,-7.12737,8
