,player_id,trade_status,user_team_id,feed_id,first_name,last_name,team,position,round,points,price,total_points,games,total_games,price_change,total_price_change,last_position,round_position,minutes_played,total_minutes_played,updated_at,kicks,total_kicks,handballs,total_handballs,marks,total_marks,tackles,total_tackles,freekicks_for,total_freekicks_for,freekicks_against,total_freekicks_against,hitouts,total_hitouts,goals,total_goals,behinds,total_behinds,avg5,own_raw,avg,avg3,opp,oppavg,opph,opp1,opp1h,opp2,opp2h,opp3,opp3h,ven,venavg,ven1,ven2,ven3,livepts,livegames,owned,points_per_min,total_points_per_min,mvp_value,position_change
293,644,free_agent,,290757,Jimmy,Webster,STK,348,24,54,288900,926,1,15,-14300,-73300,355,281,91,1385,2024-08-25T11:36:29+10:00,10,129,2,71,4,69,2,37,0,13,0,-5,0,0,0,0,0,0,54.0,119,61.7333,48.6667,CAR,54.5556,1,,0,,0,,0,Docklands Stadium,64.0,,,,0,0,2.94919,0.5934065934065934,0.6685920577617328,4679.808142445001,7
294,206,free_agent,,293884,Jake,Stringer,ESS,201,24,33,318400,1452,1,23,-28100,-43200,190,368,81,2166,2024-08-25T11:36:30+10:00,4,203,1,88,4,89,0,58,0,11,0,-19,0,0,2,42,1,25,62.2,633,63.1304,47.0,BRL,71.2727,1,,0,,0,,0,Brisbane Cricket Ground,51.375,,,,0,0,15.6877,0.4074074074074074,0.6703601108033241,5043.528949602727,-11
295,272,free_agent,,993799,Brayden,Fiorini,GCS,363,24,0,317600,877,0,12,0,-43700,353,415,0,1259,2024-08-25T11:36:30+10:00,0,125,0,103,0,59,0,22,0,6,0,-2,0,0,0,6,0,4,61.0,419,73.0833,59.6667,RIC,80.625,1,,0,,0,,0,Melbourne Cricket Ground,70.75,,,,0,0,10.3841,,0.6965845909451946,4345.726041380179,-10
297,211,free_agent,,298289,Peter,Wright,ESS,330,24,0,346400,983,0,14,0,-13500,319,415,0,1381,2024-08-25T11:36:30+10:00,0,91,0,67,0,60,0,19,0,11,0,-4,0,119,0,19,0,7,62.6,488,70.2143,48.6667,BRL,97.1429,1,,0,,0,,0,Brisbane Cricket Ground,95.0,,,,0,0,12.0942,,0.7118030412744388,4933.4679687755915,-11
298,439,free_agent,,1005330,Kade,Chandler,MEL,200,24,80,328300,1454,1,23,10000,-31000,212,162,128,2284,2024-08-25T11:36:29+10:00,14,166,7,120,4,72,1,94,0,12,0,-18,0,0,1,18,1,9,67.2,280,63.2174,69.3333,COL,44.25,0,,0,,0,,0,Melbourne Cricket Ground,59.9,,,,0,0,6.93928,0.625,0.6366024518388792,5193.190482367197,12
299,733,free_agent,,1011803,Cody,Weightman,WBD,295,24,96,344800,1117,1,16,-1000,-12900,302,97,102,1535,2024-08-25T11:36:28+10:00,8,114,11,61,1,43,6,54,3,22,-1,-10,0,0,1,27,2,16,68.4,479,69.8125,66.6667,GWS,63.0,0,,0,,0,,0,Eureka Stadium,76.6667,,,,0,0,11.8711,0.9411764705882353,0.7276872964169381,4938.943598925694,7
302,135,free_agent,,998647,Mason,Cox,COL,354,24,56,305900,914,1,16,1400,-49000,358,272,92,1360,2024-08-25T11:36:29+10:00,4,69,3,51,2,46,1,30,1,27,0,-22,9,237,0,6,0,6,64.6,371,57.125,60.3333,MEL,75.0,1,,0,,0,,0,Melbourne Cricket Ground,62.2639,,,,0,0,9.19455,0.6086956521739131,0.6720588235294118,5354.923413566739,4
303,754,free_agent,,1023025,Reuben,Ginbey,WCE,152,24,30,377900,1596,1,23,-35300,23200,142,379,128,2355,2024-08-25T11:36:30+10:00,6,174,3,187,1,62,1,83,1,14,-1,-18,0,0,0,1,0,3,68.0,771,69.3913,54.6667,GEE,40.5,1,,0,,0,,0,Kardinia Park,30.0,,,,0,0,19.1078,0.234375,0.6777070063694267,5445.927659519277,-10
304,195,free_agent,,1002143,Ben,McKay,ESS,165,24,36,381100,1558,1,23,-2400,27800,153,359,123,2824,2024-08-25T11:36:30+10:00,3,162,6,141,1,122,1,32,0,20,0,-13,0,4,0,0,0,0,67.4,418,67.7391,73.0,BRL,44.0,1,,0,,0,,0,Brisbane Cricket Ground,53.6667,,,,0,0,10.3594,0.2926829268292683,0.5516997167138811,5625.997392938495,-12
305,69,free_agent,,997846,Conor,McKenna,BRL,383,24,56,242900,784,1,14,-22300,-110200,390,272,93,1302,2024-08-25T11:36:29+10:00,13,186,2,29,4,72,0,7,0,4,0,-7,0,0,0,0,0,2,46.2,104,56.0,35.3333,ESS,45.5,0,,0,,0,,0,Brisbane Cricket Ground,63.5789,,,,0,0,2.57745,0.6021505376344086,0.6021505376344086,4337.5,7
